date_month,crashes_month,years,months,pop,prev_crashes_month,vru,prev_vru,distracteddriving,prev_distracteddriving,extremeage,prev_extremeage,speeding,prev_speeding,impaired,prev_impaired,severity,prev_severity
1/1/12,1537,Year4,Jan,622417,246.9405559,88,14.13843131,497,79.8500041,179,28.75885459,101,16.22706321,78,12.53179139,12,1.927967906
2/1/12,1518,Year4,Feb,622417,243.8879401,97,15.58440724,486,78.08270018,182,29.24084657,84,13.49577534,58,9.318511545,6,0.963983953
3/1/12,1850,Year4,Mar,622417,297.2283855,145,23.29627886,600,96.39839529,234,37.59537416,84,13.49577534,81,13.01378336,15,2.409959882
4/1/12,1720,Year4,Apr,622417,276.3420665,109,17.51237514,556,89.32917963,198,31.81147045,91,14.62042329,80,12.85311937,16,2.570623874
5/1/12,1958,Year4,May,622417,314.5800966,145,23.29627886,570,91.57847552,231,37.11338219,81,13.01378336,88,14.13843131,18,2.891951859
6/1/12,1799,Year4,Jun,622417,289.0345219,130,20.88631898,597,95.91640331,199,31.97213444,86,13.81710332,92,14.78108728,17,2.731287866
7/1/12,1816,Year4,Jul,622417,291.7658097,121,19.44034305,558,89.65050762,199,31.97213444,97,15.58440724,77,12.3711274,11,1.767303914
8/1/12,1722,Year4,Aug,622417,276.6633945,128,20.56499099,587,94.30976339,178,28.5981906,84,13.49577534,81,13.01378336,16,2.570623874
9/1/12,1808,Year4,Sep,622417,290.4804978,143,22.97495088,607,97.52304323,218,35.02475029,101,16.22706321,71,11.40714344,15,2.409959882
10/1/12,1678,Year4,Oct,622417,269.5941788,119,19.11901507,588,94.47042738,205,32.93611839,98,15.74507123,76,12.2104634,20,3.213279843
11/1/12,1608,Year4,Nov,622417,258.3476994,102,16.3877272,529,84.99125185,171,27.47354266,79,12.69245538,76,12.2104634,12,1.927967906
12/1/12,1703,Year4,Dec,622417,273.6107786,80,12.85311937,582,93.50644343,194,31.16881448,119,19.11901507,93,14.94175127,11,1.767303914
1/1/13,1623,Year5,Jan,622104,260.8888546,86,13.82405514,494,79.40794465,178,28.61257925,98,15.75299307,71,11.41288273,11,1.7681931
2/1/13,1575,Year5,Feb,622104,253.1731029,75,12.05586204,501,80.53315844,180,28.9340689,114,18.3249103,73,11.73437239,11,1.7681931
3/1/13,1733,Year5,Mar,622104,278.5707856,82,13.18107583,572,91.94604118,179,28.77332407,85,13.66331031,100,16.07448272,11,1.7681931
4/1/13,1835,Year5,Apr,622104,294.966758,103,16.5567172,585,94.03572393,224,36.0068413,87,13.98479997,83,13.34182066,12,1.928937927
5/1/13,1900,Year5,May,622104,305.4151717,124,19.93235858,661,106.2523308,203,32.63119993,98,15.75299307,82,13.18107583,9,1.446703445
6/1/13,1919,Year5,Jun,622104,308.4693235,138,22.18278616,627,100.7870067,216,34.72088268,96,15.43150341,69,11.09139308,25,4.018620681
7/1/13,1705,Year5,Jul,622104,274.0699304,115,18.48565513,559,89.85635842,189,30.38077235,91,14.62777928,80,12.85958618,16,2.571917236
8/1/13,1662,Year5,Aug,622104,267.1579029,109,17.52118617,565,90.82082739,184,29.57704821,81,13.02033101,70,11.25213791,18,2.89340689
9/1/13,1807,Year5,Sep,622104,290.4659028,116,18.64639996,550,88.40965498,216,34.72088268,75,12.05586204,84,13.50256549,16,2.571917236
10/1/13,1829,Year5,Oct,622104,294.002289,121,19.4501241,604,97.08987565,214,34.39939303,113,18.16416548,88,14.1455448,19,3.054151717
11/1/13,1757,Year5,Nov,622104,282.4286614,98,15.75299307,562,90.3385929,210,33.75641372,76,12.21660687,65,10.44841377,18,2.89340689
12/1/13,1657,Year5,Dec,622104,266.3541787,79,12.69884135,527,84.71252395,191,30.702262,95,15.27075859,63,10.12692412,13,2.089682754
